1,ゴールドジムノース東京,170-0004,東京都,豊島区,北大塚,2-24-20,永信ビル3F
2,ゴールドジムウエスト東京,164-0001,東京都,中野区,中野,4-3-1,サンクォーレタワー3F
3,ゴールドジムサウス東京,140-0011,東京都,品川区,東大井,5-2-1,おおい元気館4F
4,ゴールドジムサウス東京ANNEX,143-0023,東京都,大田区,山王,2-4-1,大森駅前ビル6F・7F
